Name
11:30
13 Engines
1755
1977
22nd Century
2Frères
2Rude
2preciious
3 Inches of Blood
3's a Crowd
347aidan
54-40
6ixBuzz
78th Fraser Highlanders Pipe Band
78th Highlanders (Halifax Citadel) Pipe Band
88Glam
A Foot in Coldwater
A Neon Rome
A Northern Chorus
A Passing Fancy
A Perfect Murder
A Primitive Evolution
A Silver Mt. Zion
A Spectre Is Haunting Europe
A-Game
AB
AHI
AIDS Wolf
ATN B4U Music
Aaron Funk
Aaron Lines
Aaron Solowoniuk
Aaryn Doyle
Abandon All Ships
Abdominal
Abigail Lapell
Aboriginal
Absolutely Free
Acadians
Achilla Orru
Acid Test
Acres of Lions
Actors
Ad Vielle Que Pourra
Adaline
Adam Gontier
Adam Gregory
Adam and the Amethysts
Adolphe-Basile Routhier
Adonis Puentes
Adventure Club
Aerial
Aerialists
Afghan
African
African Guitar Summit
Afrikana Soul Sister
AfroNubians
Afrodizz
After the Anthems
Age of Days
Aidan Knight
Air Traffic Control
Akuma
Alabama
Alaclair Ensemble
Alan Anton
Alan Doyle
Alan Frew
Alanis Morissette
Alanna Clarke
Alannah Myles
Albania
Albanian
Alberta Caledonia Pipe Band
Alberta Slim
Alcvin Ramos
Aldo Nova
Alejandra Ribera
Alert the Medic
Alessia Cara
Alex Cuba
Alex J. Robinson
Alex Lifeson
Alex Pangman
Alex Zhang Hungtai
Alexina Louie
Alexis Baro
Alexisonfire
Alexz Johnson
Alfie Zappacosta
Algeria
Algerian
Algolan
Ali Gatie
Ali Siadat
Alias
Alice Glass
Alissa White-Gluz
All Hands Make Light
All Systems Go!
Allan Fraser
Allan Rayman
Allen Froese
Allie X
Allison Au
Allison Crowe
Allison Russell
Alma Faye Brooks
Alpha Galates
Alpha Yaya Diallo
Alta Moda
Altameda
Alvvays
Alx Veliz
Alyssa Reid
Amanda Forsyth
Amanda Mabro
Amanda Marshall
Amanda Rheaume
Amanda Stott
Amati Quartet
Ambre McLean
Ambush
Amelia Curran
American
Ammoye
Amos Garrett
Amos the Transparent
Amy Honey
Amy Millan
Amy Sky
Amylie
Amélie Beyries
An April March
Ana Sokolovic
Anachnid
Anagram
Anciients
Andorran
Andre Ethier
Andrea Lewis
Andrea Lindsay
Andrew Allen
Andrew Cash
Andrew Cassara
Andrew F
Andrew Huang
Andrew Huculiak
Andrew Hyatt
Andrew Matheson
Andrew Rodriguez
Andrew Scott
Andrew Shaver
Andrew Whiteman
Andrina Turenne
Andru Branch
André
André Gagnon
André Laplante
André Mathieu
Andrée Watters
Andy Creeggan
Andy Curran
Andy Kim
Andy Milne
Andy Shauf
Andy Stochansky
Andy Warren
Anemone
Angel Forrest
Angela Desveaux
Angela Hewitt
Angelique Francis
Angine de Poitrine
Anglo-Indian
Angola
Anik Jean
Anjulie Persaud
Anna McGarrigle
Annabelle Chvostek
Anne Murray
Annesley Black
Annette Ducharme
Annex String Quartet
Annie Mottram Craig Batten
Annie Villeneuve
Annihilator
Anonymus
Another Joe
Anthony Gomes
Anthony J. Mifsud
Antiquus
Antoine Corriveau
Anvil
Anyday
Aphrose
Apollo Ghosts
Apostle of Hustle
Appleton
April Wine
Aqyila
Arab
Arcade Fire
Archie Alleyne
Archspire
Ardn
Argentina
Argentine
Argentinian
Argonotes
Ariane Roy
Ariel Engle
Arielle Soucy
Arise and Ruin
Arkaea
Arkells
Arm's Length
Armed and Hammered
Armenian
Armistice
Armond Duck Chief
Art Bergmann
Art Murphy
Art d'Ecco
Art of Dying
Art of Time Ensemble
Article One
Artificial Joy Club
As the Poets Affirm
Aselin Debison
Asexuals
Ash & Bloom
Ashes of Soma
Ashley MacIsaac
Assyrian
At the Mercy of Inspiration
Atach Tatuq
Athésia
Atlantic Symphony Orchestra
Atlantis
Atlas Strategic
Atomic 7
Attack in Black
Audio Playground
Augury
Austra
Australian
Austrian
Aut'Chose
Autorickshaw
Autumn Hill
Avataar
Avec pas d'casque
Aviva Mongillo
Avril Lavigne
Axis of Advance
Ayrad
Aysanabee
Azari & III
Azeda Booth
Azerbaijan
Azerbaijani
B-Girls
B. B. Gabor
B2Krazy
B4-4
BKS
Baby Blue Soundcrew
Baby Jey
Bach-Elgar Choir
Bachman & Turner
Bachman–Turner Overdrive
Back Alley John
Backburner
Backxwash
Bad Flirt
Bad News Brown
BadBadNotGood
Badge Époque Ensemble
Bahamas
Bahamian
Bangladesh
Bangladeshi
Banlieue Rouge
Banned from Atlantis
Banx & Ranx
Baptists
Baptized in Blood
Barachois
Barbadian
Barbara Cass-Beggs
Barbara Hannigan
Barbara Law
Barbra Amesbury
Barcelona Pavilion
Barenaked Ladies
Barley Bree
Barlow
Barney Bentall
Barney Bentall and the Legendary Hearts
Barrage
Barry Harris
Barstool Prophets
Basement Revolver
Basia Bulat
Basque
Bass is Base
Battered Wives
Battle of Santiago
Beams
Bear Mountain
Bearfoot
Beast
Beau Dommage
Bedouin Soundclash
Begonia
Beija Flor
Belarus
Belarusian
Belgian
Belgium
Belgrave
Belizean
Bell Orchestre
Bell Tower
Bella
Bells Larsen
Belly
Belvedere
Ben Caplan
Ben Heppner
Ben Mink
Bend Sinister
Beneath the Massacre
Beninese
Benjamin Bowman
Benjamin Kowalewicz
Benoît David
Benz & MD
Beppie
Berk Jodoin
Bernard Adamus
Bernice
Bernie Shaw
Bet.e & Stef
Betty Moon
Beverly Breckenridge
Beyond Creation
Beyond the Pale
Beòlach
Bibi Club
Bif Naked
Big Black Lincoln
Big Brave
Big Dirty Band
Big House
Big Rude Jake
Big Sugar
Big Valley Jamboree
Big Wreck
Bike for Three!
Bill Bourne
Bill Coon
Bill Durst
Bill Henderson
Bill Johnson
Bill McBirnie
Bill Plaskett
Bill White
Billy Bryans
Billy Klippert
Billy Newton-Davis
Billy Pettinger
Billy Raffoul
Billy Talent
Billy Thunderkloud & the Chieftones
Biography portal
Bionic
Birds of Wales
Birth Through Knowledge
Bison B.C.
Black Bear
Black Light Orchestra
Black Loyalist
Black Lungs
Black Moor
Black Mountain
Black Ox Orkestar
Black Tiger Sex Machine
Blackberry Wood
Blackburn Brothers
Blackfeet
Blackguard
Blackie and the Rodeo Kings
Blaise Pascal
Blake McGrath
Blake Pouliot
Blanket Barricade
Blasphemy
Bleeker
Blessed by a Broken Heart
Bleu Jeans Bleu
Blimp Rock
Blind Witness
Blinker the Star
Blitz//Berlin
Blood Ceremony
Blood Meridian
Bloody Chicletts
Blou
Blue Daven's Code
Blue Hawaii
Blue Monday
Blue Moon Marquee
Blue Northern
Blue Peter
Blue Rodeo
Blues
Blurtonia
Bob Bossin
Bob Ezrin
Bob Moses
Bob Nolan
Bob Rock
Bob Snider
Bob Wiseman
Bob's Your Uncle
Bobby Bazini
Bobby Curtola
Bobby Kris & The Imperials
Bobby Taylor
Bobby Taylor & the Vancouvers
Bobs and Lolo
Bocce
Bodega
Bodh'aktan
Bolivian
Bombs Over Providence
Bond
Bonjay
Bonjour Brumaire
Bonky
Bonnie Dobson
Boogat
Booji Boys
Boombox Saints
Bootsauce
Borealis
Born Dead Icons
Born Ruffians
Boslen
Bosniak
Bosnian
Boss Brass
Bossanova
Botswana
Boulevard
Bourbon Tabernacle Choir
Bowfire
Bowser and Blue
Boxer the Horse
Boy
Boy Golden
Boys Brigade
Boys Night Out
Brad Cheeseman
Brad Roberts
Braided
Braids
Bran Van 3000
Brand New Unit
Brandon Isaak
Brandon Mig
Brandon Paris Band
BrassMunk
Brasse-Camarade
Brasstronaut
Brave Belt
BraveWords
Brazil
Brazilian
Breach of Trust
Breached
Breeding Ground
Brenda Russell
Brendan Canning
Brent Fitz
Brent Titcomb
Breton
Brett Kissel
Brian Borcherdt
Brian Greenway
Brian Macleod
Brian Melo
Brian Vollmer
Brianna Lizotte
Brighton Rock
British
British Columbia
Brock Zeman
Broken Social Scene
Brother
Brown Brigade
Bruce Cockburn
Bruce Fairbairn
Bruce Guthro
Bruce Liu
Bruce Palmer
Bruce Peninsula
Brundlefly
Bruneian
Bruno Pelletier
Brutal Knights
Bruthers of Different Muthers
Brutus
Bryan Adams
Bryce Soderberg
Bryden Gwiss Kiwenzie
Buck 65
Buck N' Nice
Buddy Banks
Buddy Cage
Buddy MacMaster
Buddy Wasisname and the Other Fellers
Bulgaria
Bulgarian
Bullmoose
Bunchofuckingoofs
Buried Inside
Burmese
Burning Love
Burnstick
Burnt Project 1
Burnthe8track
Burton Cummings
Burundi
Burundian
Bush
Buster Harding
Busty and the Bass
Butterfinger
By Divine Right
Byron Stroud
Béatrice Martin
Bündock
C'mon
CANO
CASBYs
CBC Music Top 20
CBC Radio Orchestra
CBC Symphony Orchestra
CBC Winnipeg Orchestra
CCMAs
CCMC
CFCF
CFMAs
CLARK the band
CM
CMT
CPC Gangbangs
CRMAs
CRi
CUMAs
Cabo Verdean
Cadence
Cadence Weapon
Caity Gyorgy
Calgary Boys' Choir
Calgary Opera
Calgary Philharmonic Orchestra
Calpurnia
"Calvin, Don't Jump!"
Cambodian
Cameo Blues Band
Cameroon
Cameroonian
Camille Bernard
Camouflage Nights
Canadian
Canadian Bandurist Capella
Canadian Brass
Canadian Chamber Choir
Canadian Children's Opera Company
Canadian Electronic Ensemble
Canadian Grenadier Guards Band
Canadian Hot 100
Canadian Music Week
Canadian Opera Company
Canadian Zephyr
Canadian ethnicity
Cancer Bats
Candi & The Backbeat
Candy Coated Killahz
Cannon Bros.
Capitol 6
Captain Tractor
Career Suicide
Caribbean
Carl Dixon
Carl Henry
Carl Newman
Carlos Morgan
Carlton Showband
Carly Rae Jepsen
Carmen and Camille
Carole Laure
Carole Pope
Caroline Azar
Carolyn Arends
Carolyn Dawn Johnson
Carolyn Mark
Carried Away
Carroll Baker
Cartel Madras
Cartoon Lizard
Casey Manierka-Quaile
Casper Skulls
Cassie Steele
Cassie and Maggie
Cassius Khan
Catalina Yue
Category:Canadian musical groups
Category:Canadian record labels
Category:Music festivals in Canada
Catherine MacLellan
Catherine Major
Catherine Manoukian
Catherine Potter
Cats Can Fly
Catuvolcus
Cauldron
Caveboy
Cavendish Beach Music Festival
Cayouche
Caïman Fu
Celeigh Cardinal
Celine Lomez
Celtae
Celtic
Celtic Colours
Central African Republic
Central Band of the Canadian Armed Forces
CerAmony
Ceramic Hello
Cevin Key
Chad Allan
Chad Brownlee
Chad Kroeger
Chad Price
Chad VanGaalen
Chadian
Chai Folk Ensemble
Chaim Tannenbaum
Chalk Circle
Champion
Change of Heart
Chango Family
Chantal Chamandy
Chantal Condor
Chantal Kreviazuk
Chapeaumelon
Charlene Choi
Charles Lavoie
Charles Richard-Hamelin
Charlie Angus
Charlie Biddle
Charlie Hope
Charlie Major
Charlie Panigoniak
Charlie Storwick
Charlotte Angugaattiaq Qamaniq
Charlotte Cardin
Charlotte Day Wilson
Chart Attack
ChartAttack
Chase Sanborn
Checkmate
Chelsea Bridge
Cherie Camp
Chester
Chester Knight
Chic Gamine
Chicklet
Chilean
Chilliwack
Chilly Gonzales
Chimo!
Chin Injeti
China
Chinese
Chixdiggit
Chloe Charles
Choclair
Choir! Choir! Choir!
Choke
Chokehold
Chor Leoni Men's Choir
Chore
Choses Sauvages
"Chris ""Old Man"" Luedecke"
Chris Brown and Kate Fenner
Chris Buck Band
Chris Cummings
Chris Eaton
Chris Harris
Chris Hooper
Chris McKhool
Chris Murphy
Chris Nielsen
Chris Velan
Chris Wardman
Chrissy Steele
Christian Hansen & The Autistics
Christine Fellows
Christophe
Christopher Ward
Chromeo
Chuck Comeau
Chuckie Akenz
Chucky Danger Band
Chéri
Cikwes
Cities in Dust
Citizen Kane
City Opera of Vancouver
Clairmont the Second
Clarknova
Classified
Claude Dubois
Claude Vivier
Claudja Barry
Clayton Bellamy
Cleopatrick
Clever Hopes
Closer to Found
Closet Monster
Closure
Clues
Clumsy Lovers
Coastal Sound Music Academy
Cobblestone Jazz
Coco Love Alcorn
Code Pie
Cold Creek County
Cold Specks
Coleman Hell
Colin Cripps
Colin James
Colin MacDonald
Colin McPhee
Collapsing Opposites
Colleen Brown
Colleen Peterson
Colleen Rennison
Colombia
Colombian
Colter Wall
Comeback Kid
Common Grackle
Comorian
Coney Hatch
Congolese (DRC)
Connie Kaldor
Conservatory String Quartet
Constantines
Contrived
Cookie Duster
Copperpenny
Coptic
Copyright
Coral Egan
Corb Lund
Corb Lund and the Hurtin' Albertans
Corbeau
Corey Hart
Corey and Trina
Corin Raymond
Corky Laing
Corky and the Juice Pigs
Corneille
Cornish
Corridor
Corrupt Leaders
Cory Marks
Costa Rican
Counterparts
Country Thunder Saskatchewan
County Town Singers
Courage My Love
Cousins
Cowboy Junkies
Crack Cloud
Crack of Dawn
Craig Cardiff
Craig Norris
Craig Northey
Craig Stickland
Crash Adams
Crash Karma
Crash Kills Five
Crash Parallel
Crash Test Dummies
Crash Vegas
Creaking Tree String Quartet
Creature
Cree Summer
Creighton Doane
Criollo
Critical Mass
Croatian
Crowbar
Crown Lands
Crush
Crush Luther
Cry of the Afflicted
Cryptopsy
Crystal Castles
Crystal Shawanda
Cub
Cuban
Cuff the Duke
Cunter
Current Swell
Cursed
Curtis Santiago
Cynthia Johnston Turner
Cypriot
Czech
Céline Dion
Còig
D'Ari
D-Cru
D.O.A.
D.b.s.
DD/MM/YYYY
DIANA
DL Incognito
DVAS
DVBBS
Da Grassroots
Da Gryptions
Daddy's Hands
Daggermouth
Dakona
Dala
Dallas Green
Dallas Smith
Damhnait Doyle
Damien Robitaille
Dan Bejar
Dan Bigras
Dan Bryk
Dan Hill
Dan Mangan
Dan Snaith
Dan and Ryan Kowarsky
Dance Appeal
Daniel Band
Daniel Bélanger
Daniel Caesar
Daniel Gardner
Daniel Lanois
Daniel Lavoie
Daniel Ledwell
Daniel Powter
Daniel Romano
Daniel Victor
Daniel Wesley
Danish
Danko Jones
Danny Fernandes
Danny Michel
Dany Bédar
Dany Placard
Darby Mills
Darcy Hepner
Dark Covenant
Darlings of Chelsea
Darren Moore
Data Romance
Datsik
"Dave ""Rave"" Desroches"
Dave Bidini
Dave Bookman
Dave Moffatt
Dave Nicol
Dave Ullrich
David Bradstreet
David Celia
David Clayton Thomas
David Clayton-Thomas
David Desrosiers
David Foster
David Francey
David Kristian
David Lickley
David Myles
David Thibault
David Usher
David Wiffen
David Wilcox
Dawn Tyler Watson
Dawud Wharnsby-Ali
Dax
Dayglo Abortions
Dayna Manning
Dead Brain Cells
Dead Celebrity Status
Dead Hollywood Stars
Dead Jesus
Dead Letter Dept.
Dead Messenger
Dead Obies
Dead and Divine
Deadly Apples
Dean Brody
Dean Lickyer
Dear Criminals
"Dear Jane, I..."
Dear Rouge
Death from Above 1979
Debby Friday
Deborah Cox
Debs and Errol
Decoded Feedback
Decree
Default
Deja Voodoo
Del Barber
Delerium
Delhi 2 Dublin
